created_at,count
2024-05-04 14:54:33 -0600,17.5
2024-05-04 15:01:30 -0600,16.5
2024-05-04 15:11:16 -0600,17.5
2024-05-04 15:20:56 -0600,16
2024-05-04 15:31:01 -0600,20
2024-05-04 15:42:28 -0600,19.5
2024-05-04 15:53:35 -0600,19.5
2024-05-04 16:02:45 -0600,19
2024-05-04 16:15:17 -0600,16
2024-05-04 16:21:19 -0600,17.5
2024-05-04 16:33:52 -0600,18.5
2024-05-04 16:40:58 -0600,18
2024-05-04 16:52:35 -0600,17.5
2024-05-04 17:03:52 -0600,18
2024-05-04 17:16:58 -0600,17.5
2024-05-04 17:27:00 -0600,19
2024-05-04 17:31:36 -0600,20.5
2024-05-04 17:41:03 -0600,18
2024-05-04 17:51:51 -0600,19.5
2024-05-04 18:01:57 -0600,18
2024-05-04 18:13:57 -0600,18
2024-05-04 18:25:46 -0600,17.5
2024-05-04 18:33:53 -0600,19.5
2024-05-04 18:43:48 -0600,17.5
2024-05-04 18:53:25 -0600,19
2024-05-04 19:02:07 -0600,19.5
2024-05-04 19:16:58 -0600,19.5
2024-05-04 19:24:47 -0600,18
2024-05-04 19:31:09 -0600,21.5
2024-05-05 09:40:56 -0600,17.5
2024-05-05 12:13:28 -0600,25
2024-05-05 12:20:45 -0600,22.5
2024-05-05 12:31:48 -0600,21.5
2024-05-05 13:01:49 -0600,20
2024-05-05 13:10:55 -0600,16.5
2024-05-05 13:26:26 -0600,19
2024-05-05 13:31:50 -0600,18.5
2024-05-05 13:41:26 -0600,17.5
2024-05-05 13:51:57 -0600,18.5
2024-05-05 14:01:51 -0600,21
2024-05-05 14:13:04 -0600,21
2024-05-05 14:23:50 -0600,20.5
2024-05-05 14:31:52 -0600,20
2024-05-05 14:43:16 -0600,22
2024-05-05 14:53:58 -0600,19
2024-05-05 15:01:06 -0600,19.5
2024-05-05 15:15:58 -0600,20.5
2024-05-05 15:23:34 -0600,19.5
2024-05-05 15:31:22 -0600,19
2024-05-05 15:41:01 -0600,18.5
2024-05-05 15:55:58 -0600,19
2024-05-05 16:02:39 -0600,18.5
2024-05-05 16:13:11 -0600,20.5
2024-05-05 16:21:05 -0600,20.5
2024-05-05 16:31:03 -0600,18
2024-05-05 16:41:53 -0600,17
2024-05-05 16:51:06 -0600,16.5
2024-05-05 17:01:06 -0600,17.5
2024-05-05 17:11:00 -0600,18.5
2024-05-05 17:21:27 -0600,17
2024-05-05 17:33:36 -0600,21.5
2024-05-05 17:41:20 -0600,18.5
2024-05-05 18:01:04 -0600,17.5
2024-05-05 18:21:05 -0600,17.5
2024-05-05 18:41:36 -0600,19.5
2024-05-05 19:01:08 -0600,18
2024-05-05 19:11:36 -0600,19.5
2024-05-06 09:53:13 -0600,21.5
2024-05-06 10:01:40 -0600,22.5
2024-05-06 11:24:37 -0600,25
2024-05-06 11:32:26 -0600,22.5
2024-05-06 11:45:58 -0600,18.5
2024-05-06 11:54:55 -0600,17.5
2024-05-06 12:00:56 -0600,16
2024-05-06 12:12:48 -0600,17.5
2024-05-06 12:22:34 -0600,17.5
2024-05-06 12:33:29 -0600,16
2024-05-06 12:41:22 -0600,17
2024-05-06 12:53:50 -0600,20
2024-05-06 13:01:39 -0600,21
2024-05-06 13:10:55 -0600,17
2024-05-06 13:27:16 -0600,20
2024-05-06 13:36:58 -0600,20.5
2024-05-06 13:42:51 -0600,21
2024-05-06 13:51:40 -0600,20
2024-05-06 14:01:08 -0600,16.5
2024-05-06 14:11:26 -0600,16.5
2024-05-06 14:23:48 -0600,17
2024-05-06 14:30:51 -0600,19
2024-05-06 14:40:52 -0600,14
2024-05-06 14:51:24 -0600,17
2024-05-06 15:00:58 -0600,18
2024-05-06 15:11:25 -0600,18.5
2024-05-06 15:26:17 -0600,17
2024-05-06 15:31:51 -0600,17
2024-05-06 15:40:55 -0600,14.5
2024-05-06 15:51:47 -0600,16.5
2024-05-06 16:04:08 -0600,17
2024-05-06 16:11:19 -0600,16.5
2024-05-06 16:26:59 -0600,17.5
2024-05-06 16:31:38 -0600,17.5
2024-05-06 16:42:48 -0600,17
2024-05-06 16:51:36 -0600,22.5
2024-05-06 17:03:17 -0600,12
2024-05-06 17:12:12 -0600,15.5
2024-05-06 17:21:36 -0600,14
2024-05-06 17:31:17 -0600,16
2024-05-06 17:45:58 -0600,19.5
2024-05-06 17:52:43 -0600,18.5
2024-05-06 18:01:47 -0600,17
2024-05-06 18:12:15 -0600,17
2024-05-06 18:25:55 -0600,17
2024-05-06 18:31:11 -0600,17
2024-05-06 18:41:17 -0600,16
2024-05-06 18:53:10 -0600,17.5
2024-05-06 19:01:48 -0600,16.5
2024-05-06 19:14:21 -0600,18
2024-05-06 19:24:48 -0600,15.5
2024-05-06 19:32:17 -0600,16.5
2024-05-06 19:43:44 -0600,18
2024-05-06 19:52:24 -0600,17
2024-05-07 09:40:42 -0600,19.5
2024-05-07 09:50:54 -0600,22.5
2024-05-07 10:00:36 -0600,23
2024-05-07 10:40:49 -0600,22
2024-05-07 10:51:12 -0600,21
2024-05-07 11:01:28 -0600,27
2024-05-07 11:51:35 -0600,17.5
2024-05-07 12:00:51 -0600,17.5
2024-05-07 12:11:09 -0600,20
2024-05-07 12:26:58 -0600,21.5
2024-05-07 12:32:11 -0600,21.5
2024-05-07 12:42:02 -0600,22
2024-05-07 12:53:15 -0600,17.5
2024-05-07 13:02:34 -0600,17
2024-05-07 13:11:37 -0600,15
2024-05-07 13:24:53 -0600,16.5
2024-05-07 13:32:41 -0600,20.5
2024-05-07 13:40:48 -0600,19
2024-05-07 13:51:34 -0600,20
2024-05-07 14:03:11 -0600,20
2024-05-07 14:12:26 -0600,21
2024-05-07 14:20:55 -0600,21.5
2024-05-07 14:32:36 -0600,17
2024-05-07 14:46:58 -0600,17.5
2024-05-07 14:51:26 -0600,20.5
2024-05-07 15:00:57 -0600,17
2024-05-07 15:14:23 -0600,17.5
2024-05-07 15:22:53 -0600,19
2024-05-07 15:31:49 -0600,18
2024-05-07 15:42:20 -0600,17.5
2024-05-07 15:53:35 -0600,17
2024-05-07 16:05:22 -0600,19
2024-05-07 16:10:57 -0600,16.5
2024-05-07 16:21:27 -0600,19.5
2024-05-07 16:30:58 -0600,18
2024-05-07 16:42:36 -0600,18
2024-05-07 16:51:00 -0600,18
2024-05-07 17:03:23 -0600,21
2024-05-07 17:11:50 -0600,20.5
2024-05-07 17:21:12 -0600,19
2024-05-07 17:31:02 -0600,18.5
2024-05-07 17:52:04 -0600,17.5
2024-05-07 18:02:26 -0600,15
2024-05-07 18:32:46 -0600,16.5
2024-05-08 09:42:35 -0600,17
2024-05-08 09:50:44 -0600,16
2024-05-08 11:12:21 -0600,20
2024-05-08 11:33:14 -0600,7.5
2024-05-08 11:52:58 -0600,18
2024-05-08 12:01:58 -0600,18
2024-05-08 12:11:22 -0600,18.5
2024-05-08 12:20:44 -0600,18.5
2024-05-08 12:35:01 -0600,19.5
2024-05-08 12:46:58 -0600,19
2024-05-08 12:53:02 -0600,18.5
2024-05-08 13:06:58 -0600,20.5
2024-05-08 13:13:58 -0600,16.5
2024-05-08 13:24:06 -0600,18.5
2024-05-08 13:35:17 -0600,17
2024-05-08 13:41:30 -0600,17
2024-05-08 13:55:10 -0600,15.5
2024-05-08 14:01:58 -0600,15.5
2024-05-08 14:11:51 -0600,16.5
2024-05-08 14:22:57 -0600,17.5
2024-05-08 14:34:07 -0600,19.5
2024-05-08 14:40:55 -0600,20.5
2024-05-08 14:55:11 -0600,16.5
2024-05-08 15:02:02 -0600,19
2024-05-08 15:12:08 -0600,16.5
2024-05-08 15:21:52 -0600,17.5
2024-05-08 15:31:02 -0600,16
2024-05-08 15:40:55 -0600,18.5
2024-05-08 15:53:58 -0600,18
2024-05-08 16:02:38 -0600,19.5
2024-05-08 16:13:15 -0600,20
2024-05-08 16:23:31 -0600,19
2024-05-08 16:33:15 -0600,18
2024-05-08 16:41:03 -0600,15.5
2024-05-08 16:51:08 -0600,15.5
2024-05-08 17:01:49 -0600,17
2024-05-08 17:13:57 -0600,16.5
2024-05-08 17:21:10 -0600,16
2024-05-08 17:31:01 -0600,17
2024-05-08 17:42:03 -0600,17
2024-05-08 17:51:27 -0600,16
2024-05-08 18:01:05 -0600,22
2024-05-08 18:11:04 -0600,18.5
2024-05-08 18:21:06 -0600,14.5
2024-05-08 18:31:36 -0600,17
2024-05-08 18:41:34 -0600,15.5
2024-05-08 18:53:41 -0600,13.5
2024-05-08 19:02:42 -0600,20
2024-05-08 19:12:04 -0600,18.5
2024-05-08 19:23:42 -0600,18.5
2024-05-09 09:50:56 -0600,22.5
2024-05-09 10:05:35 -0600,19
2024-05-09 10:15:58 -0600,19
2024-05-09 10:20:50 -0600,19
2024-05-09 10:34:58 -0600,18.5
2024-05-09 10:46:58 -0600,18.5
2024-05-09 10:51:22 -0600,18.5
2024-05-09 11:01:10 -0600,18
2024-05-09 11:18:45 -0600,19
2024-05-09 11:28:37 -0600,19
2024-05-09 11:32:44 -0600,18.5
2024-05-09 11:44:13 -0600,19
2024-05-09 11:50:51 -0600,19
2024-05-09 12:04:37 -0600,18
2024-05-09 12:11:17 -0600,18
2024-05-09 12:22:10 -0600,20
2024-05-09 12:35:00 -0600,16.5
2024-05-09 12:40:55 -0600,18
2024-05-09 12:55:55 -0600,18.5
2024-05-09 13:04:43 -0600,21
2024-05-09 13:19:36 -0600,21.5
2024-05-09 13:21:15 -0600,20.5
2024-05-09 13:30:49 -0600,19.5
2024-05-09 13:43:50 -0600,17.5
2024-05-09 13:55:45 -0600,17.5
2024-05-09 14:03:36 -0600,18
2024-05-09 14:19:22 -0600,18
2024-05-09 14:29:24 -0600,19.5
2024-05-09 14:35:45 -0600,20
2024-05-09 14:40:52 -0600,20
2024-05-09 14:55:14 -0600,19.5
2024-05-09 15:00:52 -0600,20.5
2024-05-09 15:11:32 -0600,18.5
2024-05-09 15:21:01 -0600,16
2024-05-09 15:35:18 -0600,14.5
2024-05-09 15:40:55 -0600,17.5
2024-05-09 15:53:51 -0600,18.5
2024-05-09 16:00:56 -0600,17
2024-05-09 16:10:56 -0600,17.5
2024-05-09 16:31:49 -0600,20
2024-05-09 16:41:12 -0600,16
2024-05-09 16:50:59 -0600,16.5
2024-05-09 17:01:21 -0600,17
2024-05-09 17:13:35 -0600,19
2024-05-09 17:24:37 -0600,16.5
2024-05-09 17:36:58 -0600,16.5
2024-05-09 17:46:58 -0600,17
2024-05-09 17:53:58 -0600,17.5
2024-05-09 18:02:57 -0600,18.5
2024-05-09 18:16:58 -0600,19
2024-05-09 18:23:19 -0600,19.5
2024-05-09 18:36:58 -0600,19
2024-05-09 18:41:36 -0600,18
2024-05-09 18:55:55 -0600,17.5
2024-05-09 19:01:23 -0600,17
2024-05-10 11:42:36 -0600,23.5
2024-05-10 11:53:22 -0600,24.5
2024-05-10 12:11:58 -0600,21.5
2024-05-10 12:22:07 -0600,20.5
2024-05-10 12:33:07 -0600,19
2024-05-10 12:43:05 -0600,19
2024-05-10 12:53:24 -0600,20.5
2024-05-10 13:03:59 -0600,20.5
2024-05-10 13:12:34 -0600,20
2024-05-10 13:23:25 -0600,16.5
2024-05-10 13:32:49 -0600,16.5
2024-05-10 13:42:58 -0600,17.5
2024-05-10 13:53:26 -0600,19.5
2024-05-10 14:01:59 -0600,21.5
2024-05-10 14:16:58 -0600,21
2024-05-10 14:23:25 -0600,22.5
2024-05-10 14:33:22 -0600,18
2024-05-10 14:42:18 -0600,17.5
2024-05-10 14:53:26 -0600,19.5
2024-05-10 15:04:13 -0600,17
2024-05-10 15:12:16 -0600,20
2024-05-10 15:22:56 -0600,19.5
2024-05-10 15:33:55 -0600,18.5
2024-05-10 15:45:58 -0600,18
2024-05-10 15:52:17 -0600,18.5
2024-05-10 16:04:34 -0600,20
2024-05-10 16:12:36 -0600,24.5
2024-05-10 16:24:23 -0600,16.5
2024-05-10 16:32:20 -0600,19.5
2024-05-10 16:43:58 -0600,18.5
2024-05-10 16:51:53 -0600,18.5
2024-05-10 17:02:37 -0600,19.5
2024-05-10 17:13:58 -0600,18.5
2024-05-10 17:22:05 -0600,19
2024-05-10 17:32:05 -0600,18
2024-05-10 17:45:58 -0600,19
2024-05-10 17:52:28 -0600,19.5
2024-05-10 18:02:12 -0600,20
2024-05-10 18:12:11 -0600,15.5
2024-05-10 18:23:04 -0600,18
2024-05-10 18:36:58 -0600,16.5
2024-05-10 18:43:24 -0600,17.5
2024-05-10 18:52:11 -0600,19
2024-05-11 10:00:44 -0600,21.5
2024-05-11 10:10:43 -0600,20
2024-05-11 10:21:01 -0600,20.5
2024-05-11 10:30:42 -0600,20.5
2024-05-11 10:40:46 -0600,21.5
2024-05-11 11:09:53 -0600,17
2024-05-11 11:12:15 -0600,18
2024-05-11 11:22:16 -0600,18.5
2024-05-11 11:39:43 -0600,18
2024-05-11 11:44:42 -0600,17.5
2024-05-11 11:52:31 -0600,20
2024-05-11 12:01:14 -0600,19
2024-05-11 12:19:10 -0600,18
2024-05-11 12:25:44 -0600,16.5
2024-05-11 12:34:18 -0600,17.5
2024-05-11 12:44:31 -0600,17.5
2024-05-11 12:54:53 -0600,16.5
2024-05-11 13:04:15 -0600,16.5
2024-05-11 13:10:49 -0600,17
2024-05-11 13:23:53 -0600,19
2024-05-11 13:33:09 -0600,20.5
2024-05-11 13:49:18 -0600,14.5
2024-05-11 13:54:32 -0600,16
2024-05-11 14:06:25 -0600,20
2024-05-11 14:19:33 -0600,19.5
2024-05-11 14:24:34 -0600,17.5
2024-05-11 14:32:37 -0600,19.5
2024-05-11 14:41:25 -0600,20.5
2024-05-11 14:50:52 -0600,17
2024-05-11 15:02:31 -0600,15.5
2024-05-11 15:13:32 -0600,17
2024-05-11 15:24:53 -0600,17.5
2024-05-11 15:33:17 -0600,18
2024-05-11 15:41:00 -0600,19.5
2024-05-11 15:53:00 -0600,17
2024-05-11 16:03:03 -0600,18.5
2024-05-11 16:13:35 -0600,18
2024-05-11 16:21:54 -0600,17
2024-05-11 16:38:30 -0600,17
2024-05-11 16:43:39 -0600,18
2024-05-11 16:52:35 -0600,16.5
2024-05-11 17:02:13 -0600,17.5
2024-05-12 09:40:45 -0600,21
2024-05-12 10:37:07 -0600,22
2024-05-12 10:47:50 -0600,23
2024-05-12 10:59:00 -0600,19
2024-05-12 11:11:32 -0600,19
2024-05-12 11:19:24 -0600,19.5
2024-05-12 11:27:28 -0600,21
2024-05-12 11:37:45 -0600,19
2024-05-12 11:47:40 -0600,19
2024-05-12 11:58:20 -0600,19
2024-05-12 12:07:49 -0600,20.5
2024-05-12 12:18:11 -0600,20.5
2024-05-12 12:28:49 -0600,20.5
2024-05-12 12:37:53 -0600,19.5
2024-05-12 12:48:31 -0600,18
2024-05-12 12:58:27 -0600,18.5
2024-05-12 13:11:09 -0600,17.5
2024-05-12 13:20:00 -0600,17
2024-05-12 13:29:41 -0600,18.5
2024-05-12 13:38:34 -0600,18
2024-05-12 13:52:45 -0600,18
2024-05-12 13:57:49 -0600,17.5
2024-05-12 14:09:17 -0600,19
2024-05-12 14:19:49 -0600,18.5
2024-05-12 14:28:31 -0600,17.5
2024-05-12 14:38:20 -0600,17
2024-05-12 14:48:08 -0600,16
2024-05-12 15:00:45 -0600,16.5
2024-05-12 15:07:19 -0600,15.5
2024-05-12 15:19:22 -0600,18
2024-05-12 15:29:18 -0600,17
2024-05-12 15:38:18 -0600,17.5
2024-05-12 15:53:43 -0600,18
2024-05-12 15:58:37 -0600,18
2024-05-12 16:07:21 -0600,18.5
2024-05-12 16:19:03 -0600,18.5
2024-05-12 16:27:54 -0600,22.5
2024-05-12 16:37:24 -0600,17.5
2024-05-12 16:47:22 -0600,18.5
2024-05-12 16:58:08 -0600,16
2024-05-12 17:07:41 -0600,17.5
2024-05-12 17:18:02 -0600,17
2024-05-12 17:29:51 -0600,17
2024-05-13 09:40:36 -0600,23
2024-05-13 10:10:57 -0600,23
2024-05-13 10:22:17 -0600,22.5
2024-05-13 10:31:20 -0600,22.5
2024-05-13 10:51:32 -0600,26
2024-05-13 11:10:11 -0600,20.5
2024-05-13 11:20:26 -0600,18.5
2024-05-13 11:30:28 -0600,17.5
2024-05-13 11:34:52 -0600,19
2024-05-13 11:40:48 -0600,18.5
2024-05-13 11:50:48 -0600,18.5
2024-05-13 12:03:02 -0600,17.5
2024-05-13 12:10:43 -0600,17.5
2024-05-13 12:22:05 -0600,20
2024-05-13 12:35:42 -0600,18.5
2024-05-13 12:50:20 -0600,19
2024-05-13 13:00:01 -0600,21
2024-05-13 13:03:16 -0600,22
2024-05-13 13:12:36 -0600,18.5
2024-05-13 13:20:48 -0600,18
2024-05-13 13:35:47 -0600,18
2024-05-13 13:50:24 -0600,18
2024-05-13 13:54:23 -0600,19
2024-05-13 14:03:28 -0600,18
2024-05-13 14:11:02 -0600,18.5
2024-05-13 14:22:12 -0600,16.5
2024-05-13 14:31:10 -0600,17
2024-05-13 14:41:03 -0600,17.5
2024-05-13 15:00:33 -0600,16.5
2024-05-13 15:05:46 -0600,18
2024-05-13 15:11:04 -0600,19.5
2024-05-13 15:29:28 -0600,19
2024-05-13 15:35:44 -0600,19
2024-05-13 15:41:05 -0600,25.5
2024-05-13 15:52:39 -0600,16
2024-05-13 16:02:28 -0600,17
2024-05-13 16:12:28 -0600,17
2024-05-13 16:21:46 -0600,19
2024-05-13 16:31:18 -0600,20.5
2024-05-13 16:43:39 -0600,15.5
2024-05-13 16:54:45 -0600,15.5
2024-05-13 17:09:04 -0600,17.5
2024-05-13 17:13:40 -0600,17
2024-05-13 17:21:14 -0600,18
2024-05-13 17:35:35 -0600,15.5
2024-05-13 17:41:58 -0600,16.5
2024-05-13 17:55:44 -0600,17.5
2024-05-13 18:05:46 -0600,18
2024-05-13 18:14:51 -0600,19
2024-05-13 18:26:16 -0600,19.5
2024-05-13 18:31:16 -0600,21.5
2024-05-13 18:44:39 -0600,16.5
2024-05-13 18:58:54 -0600,17
2024-05-13 19:01:21 -0600,20
